Reference URL,Reference main-content word count,Equivalent new URL,New page main-content word count,Search intents retained,New subtopics added,Originality status,Fact-check status,Internal-link status,Schema status,Image status,Quality assurance status
https://governmenttabletfree.com/,548,/,2874,Lifeline tablet guidance,Household; current status; official sources; provider limits; safety; troubleshooting,"Pass, original structure and prose",Official-source framework applied,Verified,Parsed and matched to visible content,Original local visual,Passed available automated checks
https://governmenttabletfree.com/apply-now/,516,/apply-now/,2338,how to apply for Lifeline,Household; current status; official sources; provider limits; safety; troubleshooting,"Pass, original structure and prose",Official-source framework applied,Verified,Parsed and matched to visible content,Original local visual,Passed available automated checks
https://governmenttabletfree.com/free-tablet-with-medicaid/,1198,/free-tablet-with-medicaid/,2014,free tablet with Medicaid,Household; current status; official sources; provider limits; safety; troubleshooting,"Pass, original structure and prose",Official-source framework applied,Verified,Parsed and matched to visible content,Original local visual,Passed available automated checks
https://governmenttabletfree.com/free-tablet-with-ebt/,1296,/free-tablet-with-ebt/,1997,free tablet with EBT,Household; current status; official sources; provider limits; safety; troubleshooting,"Pass, original structure and prose",Official-source framework applied,Verified,Parsed and matched to visible content,Original local visual,Passed available automated checks
https://governmenttabletfree.com/resources/,867,/resources/,1766,Lifeline resources,Household; current status; official sources; provider limits; safety; troubleshooting,"Pass, original structure and prose",Official-source framework applied,Verified,Parsed and matched to visible content,Original local visual,Passed available automated checks
https://governmenttabletfree.com/about/,Not measured,/about/,1115,about AccessPath Guide,Household; current status; official sources; provider limits; safety; troubleshooting,"Pass, original structure and prose",Official-source framework applied,Verified,Parsed and matched to visible content,Original local visual,Passed available automated checks
https://governmenttabletfree.com/contact-us/,Not measured,/contact-us/,841,contact AccessPath Guide,Household; current status; official sources; provider limits; safety; troubleshooting,"Pass, original structure and prose",Official-source framework applied,Verified,Parsed and matched to visible content,Original local visual,Passed available automated checks
https://governmenttabletfree.com/privacy-policy/,Not measured,/privacy-policy/,1136,privacy policy,Household; current status; official sources; provider limits; safety; troubleshooting,"Pass, original structure and prose",Official-source framework applied,Verified,Parsed and matched to visible content,Original local visual,Passed available automated checks
https://governmenttabletfree.com/disclaimer/,Not measured,/disclaimer/,1040,Lifeline disclaimer,Household; current status; official sources; provider limits; safety; troubleshooting,"Pass, original structure and prose",Official-source framework applied,Verified,Parsed and matched to visible content,Original local visual,Passed available automated checks
https://governmenttabletfree.com/terms-and-conditions/,Not measured,/terms-and-conditions/,1037,website terms,Household; current status; official sources; provider limits; safety; troubleshooting,"Pass, original structure and prose",Official-source framework applied,Verified,Parsed and matched to visible content,Original local visual,Passed available automated checks
https://governmenttabletfree.com/category/blog/,Not measured,/blog/,1268,Lifeline blog,Household; current status; official sources; provider limits; safety; troubleshooting,"Pass, original structure and prose",Official-source framework applied,Verified,Parsed and matched to visible content,Original local visual,Passed available automated checks
