Source URL,Target URL,Anchor text,Link context,Link purpose,Whether the link exists,Whether the target is indexable
/,/free-tablet-with-medicaid/,Free Tablet With Medicaid: What Eligibility Really Means,Main editorial content,Contextual navigation,Yes,Yes
/,/free-tablet-with-ebt/,"Free Tablet With EBT or SNAP: Proof, Eligibility, and Limits",Main editorial content,Contextual navigation,Yes,Yes
/,/national-verifier-guide/,National Verifier Guide for Lifeline,Main editorial content,Contextual navigation,Yes,Yes
/,/compare-lifeline-providers/,How to Compare Lifeline Providers,Main editorial content,Contextual navigation,Yes,Yes
/,/blog/medicaid-lifeline-eligibility/,How Medicaid Can Support Lifeline Eligibility,Main editorial content,Contextual navigation,Yes,Yes
/,/blog/ebt-card-snap-proof/,Is an EBT Card Enough to Prove SNAP Participation?,Main editorial content,Contextual navigation,Yes,Yes
/,/blog/national-verifier-mistakes/,Common National Verifier Mistakes and How to Fix Them,Main editorial content,Contextual navigation,Yes,Yes
/,/blog/no-tablet-provider-available/,What to Do When No Tablet Provider Is Available,Main editorial content,Contextual navigation,Yes,Yes
/blog/,/blog/medicaid-lifeline-eligibility/,How Medicaid Can Support Lifeline Eligibility,Main editorial content,Contextual navigation,Yes,Yes
/blog/,/blog/ebt-card-snap-proof/,Is an EBT Card Enough to Prove SNAP Participation?,Main editorial content,Contextual navigation,Yes,Yes
/blog/,/blog/national-verifier-mistakes/,Common National Verifier Mistakes and How to Fix Them,Main editorial content,Contextual navigation,Yes,Yes
/blog/,/blog/no-tablet-provider-available/,What to Do When No Tablet Provider Is Available,Main editorial content,Contextual navigation,Yes,Yes
/blog/,/blog/lifeline-service-vs-device/,Lifeline Service Benefits vs Device Promotions,Main editorial content,Contextual navigation,Yes,Yes
/blog/,/blog/compare-lifeline-providers-safely/,How to Compare Lifeline Providers Safely,Main editorial content,Contextual navigation,Yes,Yes
/blog/,/blog/documents-prevent-delays/,Documents That May Help Prevent Lifeline Delays,Main editorial content,Contextual navigation,Yes,Yes
/blog/,/blog/one-lifeline-per-household/,What One Lifeline Benefit per Household Means,Main editorial content,Contextual navigation,Yes,Yes
/blog/,/blog/lifeline-recertification-explained/,How Lifeline Recertification Works,Main editorial content,Contextual navigation,Yes,Yes
/blog/,/blog/fake-tablet-application-warning-signs/,Warning Signs of a Fake Tablet Application Website,Main editorial content,Contextual navigation,Yes,Yes
